18.7966943,-137.908221,6796228.43,-6043.4736,2024.0543,-46996.3178
18.1580189,-137.653419,6796169.48,-5748.5713,1928.718,-47079.8301
17.5198255,-137.377748,6796112.4,-5431.4084,1867.4174,-47156.3713
16.8821693,-137.07886,6796057.19,-5122.3418,1848.8644,-47222.5767
16.2451144,-136.754042,6796003.88,-4869.2277,1730.9758,-47279.8416
15.6087352,-136.400144,6795952.48,-4625.1746,1536.0681,-47333.0034
14.9731187,-136.013495,6795903,-4398.7278,1347.3697,-47378.7133
14.338367,-135.589785,6795855.46,-4114.1453,1251.691,-47422.2774
13.7046011,-135.123922,6795809.87,-3824.4916,1173.5519,-47460.4717
13.0719652,-134.609855,6795766.24,-3543.6898,1077.6344,-47492.8646
12.4406325,-134.040334,6795724.58,-3267.9304,986.4407,-47519.2862
11.8108128,-133.406608,6795684.9,-3002.6513,883.327,-47540.0667
11.1827625,-132.698023,6795647.22,-2746.7625,783.4904,-47555.059
10.5567983,-131.901486,6795611.54,-2498.6759,672.7169,-47565.1167
9.9333154,-131.000751,6795577.87,-2253.3463,564.6985,-47570.3988
9.3128129,-129.975435,6795546.23,-2016.6742,453.4316,-47570.9156
8.6959298,-128.799673,6795516.61,-1783.7662,340.1115,-47567.0658
8.0834957,-127.440228,6795489.02,-1560.6306,222.2209,-47558.7225
7.4766046,-125.853828,6795463.48,-1344.7941,100.3786,-47546.2399
6.8767253,-123.983347,6795439.98,-1140.9893,-26.8475,-47529.6113
6.2858665,-121.752329,6795418.54,-948.9343,-160.9822,-47509.0982
5.7068314,-119.057098,6795399.15,-772.0235,-301.5849,-47484.5586
5.1436159,-115.755627,6795381.83,-618.9741,-453.8877,-47455.782
4.6020325,-111.652665,6795366.57,-492.1128,-612.4934,-47422.827
4.0906833,-106.482763,6795353.38,-411.9024,-782.751,-47385.453
3.6223957,-99.9004791,6795342.26,-390.2119,-958.2629,-47343.9978
3.2160365,-91.5077148,6795333.22,-452.5443,-1131.6441,-47298.964
2.8977779,-80.9866113,6795326.25,-624.6858,-1275.7357,-47250.8578
2.6989686,-68.4132914,6795321.36,-913.6428,-1352.1292,-47200.347
2.6466655,-54.621325,6795318.55,-1291.8749,-1321.1143,-47147.7744
2.7492434,-41.0870231,6795317.82,-1696.2126,-1182.2172,-47093.3445
2.9908085,-29.1384832,6795319.17,-2076.4278,-973.6232,-47037.0511
3.3413512,-19.3364086,6795322.59,-2408.4636,-745.0816,-46978.7949
3.7705989,-11.5823769,6795328.1,-2696.6711,-523.5277,-46918.5174
4.254797,-5.5071168,6795335.67,-2954.133,-323.2601,-46856.1628
4.777266,-0.7222076,6795345.32,-3197.567,-143.7596,-46791.1928
5.3267562,3.0917241,6795357.03,-3428.9317,14.9785,-46723.9816
5.8957169,6.1752791,6795370.81,-3655.8931,155.0436,-46654.1783
6.4790202,8.7043598,6795386.65,-3874.3766,279.9503,-46582.3346
7.0731181,10.8069246,6795404.54,-4089.2693,393.9222,-46508.1218
7.6755041,12.5766483,6795424.49,-4307.1447,500.6793,-46430.829
8.2843699,14.0828967,6795446.47,-4524.2769,593.95,-46350.8659
8.898385,15.3777292,6795470.49,-4741.6185,681.1648,-46268.0608
9.5165522,16.5007639,6795496.55,-4959.3608,766.4317,-46182.4427
10.1381115,17.4825637,6795524.62,-5176.4994,844.9216,-46094.293
10.7624747,18.3470137,6795554.71,-5389.399,919.0529,-46004.1367
11.3891801,19.1130083,6795586.8,-5604.048,1002.1111,-45910.9119
12.0178607,19.7956642,6795620.89,-5822.6145,1065.4694,-45815.0749
12.6482214,20.4072029,6795656.97,-6029.2312,1092.2123,-45718.9146
13.2800224,20.9576017,6795695.03,-6254.5269,1169.8927,-45616.2376
13.9130669,21.455079,6795735.05,-6485.2297,1249.7792,-45509.5086
14.5471919,21.9064607,6795777.03,-6681.5757,1266.3757,-45405.7239
15.1822615,22.31746,6795820.96,-6902.8796,1308.6743,-45293.6601
15.8181614,22.6928928,6795866.82,-7112.9382,1328.9556,-45179.7702
16.4547945,23.0368456,6795914.6,-7335.2637,1355.2417,-45059.5785
17.0920785,23.3528076,6795964.28,-7555.0994,1376.6995,-44935.8649
17.7299424,23.6437747,6796015.87,-7733.0153,1280.8745,-44819.6689
18.3683253,23.9123335,6796069.33,-7991.5877,1421.019,-44680.4906
19.0071741,24.1607283,6796124.66,-8239.5775,1540.2558,-44542.2166
19.646443,24.3909154,6796181.84,-8462.9332,1575.5017,-44409.7817
20.2860914,24.6046077,6796240.86,-8690.5925,1608.5349,-44274.7244
20.926084,24.8033114,6796301.69,-8918.647,1637.441,-44137.1066
21.5663895,24.9883559,6796364.33,-9150.4875,1662.974,-43995.9424
22.2069801,25.1609189,6796428.76,-9379.4422,1684.6042,-43852.0187
22.8478313,25.3220473,6796494.96,-9610.8182,1704.6547,-43703.7447
23.4889211,25.4726751,6796562.9,-9844.5865,1723.7866,-43550.724
24.1302297,25.6136377,6796632.59,-10079.1056,1741.3605,-43393.2639
24.7717396,25.7456851,6796703.99,-10313.9025,1757.2596,-43231.5943
25.4134348,25.8694919,6796777.08,-10549.3294,1771.8704,-43065.914
26.0553011,25.9856669,6796851.86,-10785.2329,1784.7321,-42896.6662
26.6973253,26.094761,6796928.29,-11022.5644,1796.1666,-42723.7012
27.3394958,26.1972735,6797006.36,-11261.0417,1805.846,-42547.0256
27.9818017,26.2936583,6797086.05,-11500.535,1813.6836,-42366.7033
28.6242334,26.384329,6797167.34,-11741.7224,1820.2949,-42182.3993
29.2667818,26.469663,6797250.19,-11984.6657,1825.4854,-41993.9776
